,Difference start-end,summed up
0,920,920
0,670,670
0,490,490
0,660,660
0,650,650
0,720,720
0,3620,3620
0,680,680
0,470,470
0,370,370
0,3520,3520
0,600,600
0,160,160
0,320,320
0,3520,3520
0,300,300
0,450,450
0,3520,3520
0,3520,3520
0,430,430
0,330,330
0,3520,3520
0,590,590
0,120,120
0,3520,3520
0,3520,3520
0,610,610
0,120,120
0,3520,3520
0,600,600
0,140,140
0,3520,3520
0,590,590
0,3520,3520
0,590,590
0,280,280
0,3520,3520
0,3520,3520
0,3520,3520
0,3520,3520
0,3520,3520
0,110,110
0,3520,3520
0,350,350
0,3520,3520
0,3520,3520
0,3520,3520
0,3520,3520
0,3520,3520
0,490,490
0,350,350
0,3520,3520
0,3520,3520
0,3520,3520
0,3520,3520
0,600,600
0,3520,3520
0,210,210
0,550,550
0,20,20
0,3520,3520
0,3520,3520
0,620,620
0,340,340
0,3520,3520
0,570,570
0,140,140
0,3520,3520
0,530,530
0,280,280
0,190,190
0,3520,3520
0,540,540
0,320,320
0,3520,3520
0,80,80
0,500,500
0,320,320
0,3520,3520
0,3520,3520
0,10,10
0,10,10
0,3520,3520
0,20,20
0,3520,3520
0,560,560
0,100,100
0,3520,3520
0,3520,3520
0,20,20
0,440,440
0,3520,3520
0,10,10
0,3520,3520
0,10,10
0,10,10
0,10,10
0,3520,3520
0,10,10
0,10,10
0,450,450
